SampleID,Num_reads,Num_R1,Num_R2,Num_Paired,Num_MateMapped,Num_Singletons,Num_MateMappedDiffChr,Coverage_depth
2019_25_N,2923301,1459677,1463624,1816442,2566696,86190,728674,4.15999
2019_32_H,3376392,1686594,1689798,2231214,2992342,77802,735404,4.95544
2019_33_G,3013216,1504845,1508371,1997718,2679836,76452,660074,4.50144
2019_33_H,2336161,1167183,1168978,1542296,2077066,58053,517704,4.07304
2019_34_H,2317740,1157557,1160183,1506612,2045938,65772,521696,3.87895
2019_34_J,3067501,1531501,1536000,1944114,2703260,82810,736688,4.51563
2019_35_F,3660857,1827655,1833202,2393230,3229332,91921,807998,5.04791
2019_35_G,2627980,1312359,1315621,1711134,2324102,73368,592872,4.21954
2020_27_D,2483342,1240306,1243036,1635180,2203416,67802,549828,4.05144
2020_29_D,2710558,1353530,1357028,1733600,2394072,73915,641070,4.22928
2020_30_D,1848506,923478,925028,1225650,1657730,46747,419526,3.61316
2020_51_I,2584289,1290443,1293846,1632088,2275324,72769,624118,4.07522
2020_52_I,2973016,1485467,1487549,1950296,2630154,70429,657248,4.60282
2020_54_I,2763484,1380337,1383147,1787696,2433142,69438,623360,4.38061
2020_55_F,2631042,1313897,1317145,1657454,2299962,73033,622756,4.06823
2020_55_J,2082905,1039427,1043478,1416658,1857292,58330,425072,3.81832
2021_10_I,2247340,1122754,1124586,1463624,1986784,58716,506330,3.93082
2021_41_O,3019243,1508109,1511134,1913098,2641662,79843,704138,4.45089
2021_42_O,2972495,1485481,1487014,1932614,2619892,70030,663498,4.6563
2021_44_O,3039377,1516601,1522776,1869112,2646540,88957,755216,4.34068
2021_45_N,2282118,1139658,1142460,1447462,1999638,68655,534454,3.81167
2021_45_O,2984432,1490686,1493746,1952084,2642516,76476,667706,4.56121
2021_6_H,2252375,1124558,1127817,1438312,1988562,60902,534276,3.86443
2021_6_I,2562473,1279903,1282570,1664140,2263792,67178,580020,4.14046
2022_36_H,3105945,1551466,1554479,1994648,2720476,77628,702362,4.46263
2022_36_I,2536963,1267168,1269795,1631240,2232998,67593,582678,4.14884
2022_37_F,2694660,1345579,1349081,1733872,2371802,76103,617246,4.2279
2022_40_H,2613954,1306405,1307549,1725532,2324386,65554,579186,4.25977
2022_51_M,2493471,1245439,1248032,1640246,2218684,61932,559690,4.18826
2022_52_N,2411501,1204013,1207488,1588254,2149554,61152,545248,4.08844
2022_53_L,2402163,1199693,1202470,1542980,2127708,62466,567302,4.03535
2022_53_O,2324740,1161193,1163547,1536654,2078608,58420,526684,4.00933
2024_16_H,3040507,1516755,1523752,1877956,2651896,88735,752386,4.28159
2024_16_J,41468,20702,20766,24788,34162,1293,9080,1.1852
2024_17_F,2373124,1185092,1188032,1511974,2079110,70577,549518,3.87569
2024_18_F,2087541,1043243,1044298,1344462,1844120,54794,483888,3.82482
2024_32_D,2891326,1444042,1447284,1855926,2543112,76695,665476,4.41854
2024_33_M,1940738,963494,977244,1191792,1670226,66428,465142,3.37218
2024_33_O,3191526,1593274,1598252,2003128,2790048,90026,761970,4.50387
2024_35_C,2688761,1342693,1346068,1695424,2355542,74150,638854,4.19233
2027_41_F,2897680,1446213,1451467,1829790,2551020,79820,700540,4.27757
2027_41_J,2442411,1218911,1223500,1595150,2169428,64189,557842,4.01901
2027_42_H,2674598,1335384,1339214,1730968,2352050,79612,600522,4.12028
2027_42_J,2863335,1430443,1432892,1853652,2529048,74382,653542,4.37997
2027_43_G,3268870,1632732,1636138,2142032,2885486,77411,717874,4.72746
2027_44_G,1914331,956300,958031,1285122,1706498,49463,407104,3.70441
2027_44_H,2440412,1219553,1220859,1616490,2179774,57935,545034,4.14063
2027_45_I,2754711,1374559,1380152,1718528,2412078,82365,673084,4.06205
2030_1_F,2004332,1001566,1002766,1322060,1792934,52414,455976,3.61145
2030_3_H,2595716,1296889,1298827,1724126,2306244,59690,562294,4.27149
2030_4_J,2781743,1387829,1393914,1747072,2439476,81777,671440,4.16392
2030_56_O,2766804,1380927,1385877,1733052,2434484,81557,680948,4.12434
2030_57_O,3665112,1830034,1835078,2325674,3219324,97896,866826,4.91155
2030_58_K,2705502,1351332,1354170,1764442,2393826,75049,608762,4.22048
2030_59_N,2758284,1377943,1380341,1785930,2450380,71260,644144,4.35259
2030_60_L,2204473,1101339,1103134,1459558,1960944,59049,484534,3.88466
2032_46_B,2586751,1291094,1295657,1618776,2270706,76012,631832,4.02297
2032_46_E,2229305,1113682,1115623,1439896,1972408,58721,515212,3.8147
2032_48_A,3437970,1717061,1720909,2224924,3034484,86985,783970,4.76597
2032_48_C,3133863,1564924,1568939,1982872,2739530,84490,731476,4.50211
2032_48_E,2664229,1330382,1333847,1713456,2348018,70755,614144,4.22934
2032_49_A,2432888,1215165,1217723,1553076,2134308,71342,562460,3.96453
2032_49_B,2277425,1136824,1140601,1475112,2018720,59690,527712,3.92612
2032_50_E,3349161,1673022,1676139,2171604,2958444,85796,761692,4.71879
2100_12_K,2531426,1262959,1268467,1596834,2224708,70104,609640,4.05463
2100_18_B,2415783,1206179,1209604,1546350,2137322,64017,573810,3.98073
2100_19_B,1989699,993831,995868,1292256,1756010,55948,448472,3.67074
2100_46_J,3184795,1590588,1594207,2057872,2804782,77819,721644,4.69567
2100_47_H,2593430,1295129,1298301,1667640,2296748,69709,610272,4.15287
2100_47_J,2472461,1235034,1237427,1594928,2179590,70996,565524,4.03001
2100_48_I,3336029,1665511,1670518,2115648,2927700,91127,785888,4.68602
2101_14_G,2532661,1264831,1267830,1630518,2233766,66569,583378,4.12786
2101_14_I,2858225,1427040,1431185,1771350,2503480,81401,710754,4.12426
2101_46_K,2570281,1283185,1287096,1605186,2248566,73693,624074,3.96941
2101_46_O,2227272,1112108,1115164,1434614,1972954,60341,522618,3.83394
2101_47_K,3076731,1537002,1539729,1995970,2723502,80149,703690,4.59196
2101_49_K,3144810,1570400,1574410,1973158,2750530,86788,752116,4.48066
2101_49_L,2893948,1445334,1448614,1902948,2560464,69749,631220,4.51809
2101_50_M,3265015,1630247,1634768,2116898,2876326,77814,734384,4.81743
2103_36_A,2746392,1372089,1374303,1789228,2433344,71333,623446,4.27558
2103_36_B,3137431,1567121,1570310,2064314,2775316,73420,686242,4.69967
2103_36_C,2068053,1033018,1035035,1363752,1841610,51966,464010,3.80526
2103_36_E,2460516,1229134,1231382,1607624,2171702,59117,545172,4.20379
2103_38_B,3021613,1508294,1513319,1902314,2657534,86246,732752,4.37799
2103_39_A,2461797,1228656,1233141,1578668,2176098,67321,580392,3.99018
