ID,Description,Statistics,P-value,q-value
PF01778,Ribosomal L28e protein family,2/34399 | 2/907,0.0006945,0.1775
PF13923,"Zinc finger, C3HC4 type (RING finger)",10/34399 | 3/907,0.001908,0.1775
PF03059,Nicotianamine synthase protein,10/34399 | 3/907,0.001908,0.1775
PF00189,"Ribosomal protein S3, C-terminal domain",3/34399 | 2/907,0.002047,0.1775
PF03126,Plus-3 domain,3/34399 | 2/907,0.002047,0.1775
PF05292,Malonyl-CoA decarboxylase C-terminal domain,3/34399 | 2/907,0.002047,0.1775
PF01118,"Semialdehyde dehydrogenase, NAD binding domain",3/34399 | 2/907,0.002047,0.1775
PF13450,NAD(P)-binding Rossmann-like domain,11/34399 | 3/907,0.002573,0.1952
PF06943,LSD1 zinc finger,4/34399 | 2/907,0.004022,0.2322
PF12313,NPR1/NIM1 like defence protein C terminal,4/34399 | 2/907,0.004022,0.2322
PF01535,PPR repeat,1140/34399 | 45/907,0.005095,0.2322
PF14543,Xylanase inhibitor N-terminal,148/34399 | 10/907,0.006031,0.2322
PF04628,"Sedlin, N-terminal conserved region",5/34399 | 2/907,0.006586,0.2322
PF00113,"Enolase, C-terminal TIM barrel domain",17/34399 | 3/907,0.009426,0.2322
PF00856,SET domain,52/34399 | 5/907,0.01178,0.2322
PF03659,Glycosyl hydrolase family 71,7/34399 | 2/907,0.01335,0.2322
PF03725,"3 exoribonuclease family, domain 2",7/34399 | 2/907,0.01335,0.2322
PF04117,Mpv17 / PMP22 family,7/34399 | 2/907,0.01335,0.2322
PF13361,UvrD-like helicase C-terminal domain,7/34399 | 2/907,0.01335,0.2322
PF00231,ATP synthase,7/34399 | 2/907,0.01335,0.2322
PF00643,B-box zinc finger,7/34399 | 2/907,0.01335,0.2322
PF02800,"Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain",20/34399 | 3/907,0.0149,0.2322
PF04765,Protein of unknown function (DUF616),20/34399 | 3/907,0.0149,0.2322
PF13637,Ankyrin repeats (many copies),21/34399 | 3/907,0.01705,0.2322
PF04515,Plasma-membrane choline transporter,8/34399 | 2/907,0.0175,0.2322
PF03952,"Enolase, N-terminal domain",8/34399 | 2/907,0.0175,0.2322
PF00861,"Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast",8/34399 | 2/907,0.0175,0.2322
