"ID","Description","Statistics","P-value","q-value"
"PF12313","NPR1/NIM1 like defence protein C terminal","4/34399 | 2/465","0.001075","0.1760"
"PF01535","PPR repeat","1140/34399 | 28/465","0.001940","0.1760"
"PF04117","Mpv17 / PMP22 family","7/34399 | 2/465","0.003661","0.1760"
"PF03659","Glycosyl hydrolase family 71","7/34399 | 2/465","0.003661","0.1760"
"PF03952","Enolase, N-terminal domain","8/34399 | 2/465","0.004838","0.1760"
"PF04515","Plasma-membrane choline transporter","8/34399 | 2/465","0.004838","0.1760"
"PF13857","Ankyrin repeats (many copies)","10/34399 | 2/465","0.007637","0.1760"
"PF04884","Vitamin B6 photo-protection and homoeostasis","11/34399 | 2/465","0.009251","0.1760"
"PF13242","HAD-hyrolase-like","11/34399 | 2/465","0.009251","0.1760"
"PF11834","KHA, dimerisation domain of potassium ion channel","11/34399 | 2/465","0.009251","0.1760"
"PF00733","Asparagine synthase","11/34399 | 2/465","0.009251","0.1760"
"PF01529","DHHC palmitoyltransferase","12/34399 | 2/465","0.01100","0.1760"
"PF04551","GcpE protein","1/34399 | 1/465","0.01352","0.1760"
"PF16381","Coatomer subunit gamma-1 C-terminal appendage platform","1/34399 | 1/465","0.01352","0.1760"
"PF08752","Coatomer gamma subunit appendage platform subdomain","1/34399 | 1/465","0.01352","0.1760"
"PF05479","Photosystem I reaction centre subunit N (PSAN or PSI-N)","1/34399 | 1/465","0.01352","0.1760"
"PF08574","Transcription factor Iwr1","1/34399 | 1/465","0.01352","0.1760"
"PF10291","Muniscin C-terminal mu homology domain","1/34399 | 1/465","0.01352","0.1760"
"PF07297","Dolichol phosphate-mannose biosynthesis regulatory protein (DPM2)","1/34399 | 1/465","0.01352","0.1760"
"PF07207","Light regulated protein Lir1","1/34399 | 1/465","0.01352","0.1760"
"PF02873","UDP-N-acetylenolpyruvoylglucosamine reductase, C-terminal domain","1/34399 | 1/465","0.01352","0.1760"
"PF08524","rRNA processing","1/34399 | 1/465","0.01352","0.1760"
"PF10914","Protein of unknown function (DUF2781)","1/34399 | 1/465","0.01352","0.1760"
"PF01066","CDP-alcohol phosphatidyltransferase","1/34399 | 1/465","0.01352","0.1760"
"PF14493","Helix-turn-helix domain","1/34399 | 1/465","0.01352","0.1760"
"PF12554","Mitotic-spindle organizing gamma-tubulin ring associated","1/34399 | 1/465","0.01352","0.1760"
"PF12657","Transcription factor IIIC subunit delta N-term","1/34399 | 1/465","0.01352","0.1760"
"PF01501","Glycosyl transferase family 8","39/34399 | 3/465","0.01565","0.1760"
"PF00397","WW domain","15/34399 | 2/465","0.01704","0.1760"
"PF00023","Ankyrin repeat","16/34399 | 2/465","0.01930","0.1760"
"PF00498","FHA domain","16/34399 | 2/465","0.01930","0.1760"
"PF01357","Pollen allergen","77/34399 | 4/465","0.02057","0.1760"
"PF00027","Cyclic nucleotide-binding domain","17/34399 | 2/465","0.02169","0.1760"
"PF17181","Epidermal patterning factor proteins","17/34399 | 2/465","0.02169","0.1760"
"PF00113","Enolase, C-terminal TIM barrel domain","17/34399 | 2/465","0.02169","0.1760"
"PF03151","Triose-phosphate Transporter family","45/34399 | 3/465","0.02290","0.1760"
"PF07717","Oligonucleotide/oligosaccharide-binding (OB)-fold","18/34399 | 2/465","0.02418","0.1760"
"PF16420","Ubiquitin-like modifier-activating enzyme ATG7 N-terminus","2/34399 | 1/465","0.02685","0.1760"
"PF04376","Arginine-tRNA-protein transferase, N terminus","2/34399 | 1/465","0.02685","0.1760"
"PF05147","Lanthionine synthetase C-like protein","2/34399 | 1/465","0.02685","0.1760"
"PF05557","Mitotic checkpoint protein","2/34399 | 1/465","0.02685","0.1760"
"PF07468","Agglutinin domain","2/34399 | 1/465","0.02685","0.1760"
"PF10152","Subunit CCDC53 of WASH complex","2/34399 | 1/465","0.02685","0.1760"
"PF08543","Phosphomethylpyrimidine kinase","2/34399 | 1/465","0.02685","0.1760"
"PF00988","Carbamoyl-phosphate synthase small chain, CPSase domain","2/34399 | 1/465","0.02685","0.1760"
"PF11805","Protein of unknown function (DUF3326)","2/34399 | 1/465","0.02685","0.1760"
"PF08029","HisG, C-terminal domain","2/34399 | 1/465","0.02685","0.1760"
"PF05142","Domain of unknown function (DUF702)","2/34399 | 1/465","0.02685","0.1760"
"PF13386","Cytochrome C biogenesis protein transmembrane region","2/34399 | 1/465","0.02685","0.1760"
"PF03091","CutA1 divalent ion tolerance protein","2/34399 | 1/465","0.02685","0.1760"
"PF05811","Eukaryotic protein of unknown function (DUF842)","2/34399 | 1/465","0.02685","0.1760"
"PF02581","Thiamine monophosphate synthase","2/34399 | 1/465","0.02685","0.1760"
"PF03224","V-ATPase subunit H","2/34399 | 1/465","0.02685","0.1760"
"PF02137","Adenosine-deaminase (editase) domain","2/34399 | 1/465","0.02685","0.1760"
"PF12899","Alkaline and neutral invertase","20/34399 | 2/465","0.02950","0.1793"
"PF01053","Cys/Met metabolism PLP-dependent enzyme","20/34399 | 2/465","0.02950","0.1793"
"PF13041","PPR repeat family","1176/34399 | 24/465","0.03106","0.1793"
"PF13637","Ankyrin repeats (many copies)","21/34399 | 2/465","0.03232","0.1793"
"PF02668","Taurine catabolism dioxygenase TauD, TfdA family","21/34399 | 2/465","0.03232","0.1793"
"PF00856","SET domain","52/34399 | 3/465","0.03330","0.1793"
"PF11957","THO complex subunit 1 transcription elongation factor","3/34399 | 1/465","0.04001","0.1793"
"PF04545","Sigma-70, region 4","3/34399 | 1/465","0.04001","0.1793"
"PF08628","Sorting nexin C terminal","3/34399 | 1/465","0.04001","0.1793"
"PF07744","SPOC domain","3/34399 | 1/465","0.04001","0.1793"
"PF14683","Polysaccharide lyase family 4, domain III","3/34399 | 1/465","0.04001","0.1793"
"PF16399","Intron-binding protein aquarius N-terminus","3/34399 | 1/465","0.04001","0.1793"
"PF05207","CSL zinc finger","3/34399 | 1/465","0.04001","0.1793"
"PF06046","Exocyst complex component Sec6","3/34399 | 1/465","0.04001","0.1793"
"PF03126","Plus-3 domain","3/34399 | 1/465","0.04001","0.1793"
"PF00215","Orotidine 5-phosphate decarboxylase / HUMPS family","3/34399 | 1/465","0.04001","0.1793"
"PF00024","PAN domain","3/34399 | 1/465","0.04001","0.1793"
"PF14749","Acyl-coenzyme A oxidase N-terminal","3/34399 | 1/465","0.04001","0.1793"
"PF03200","Glycosyl hydrolase family 63 C-terminal domain","3/34399 | 1/465","0.04001","0.1793"
"PF02987","Late embryogenesis abundant protein","3/34399 | 1/465","0.04001","0.1793"
"PF07063","Domain of unknown function (DUF1338)","3/34399 | 1/465","0.04001","0.1793"
"PF01280","Ribosomal protein L19e","3/34399 | 1/465","0.04001","0.1793"
"PF03460","Nitrite/Sulfite reductase ferredoxin-like half domain","3/34399 | 1/465","0.04001","0.1793"
"PF17067","Ribosomal protein S31e","3/34399 | 1/465","0.04001","0.1793"
"PF13301","Protein of unknown function (DUF4079)","3/34399 | 1/465","0.04001","0.1793"
"PF00076","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","337/34399 | 9/465","0.04095","0.1812"
"PF05641","Agenet domain","27/34399 | 2/465","0.05125","0.1876"
"PF04377","Arginine-tRNA-protein transferase, C terminus","4/34399 | 1/465","0.05299","0.1876"
"PF01170","Putative RNA methylase family UPF0020","4/34399 | 1/465","0.05299","0.1876"
"PF12643","MazG-like family","4/34399 | 1/465","0.05299","0.1876"
"PF07683","Cobalamin synthesis protein cobW C-terminal domain","4/34399 | 1/465","0.05299","0.1876"
"PF02338","OTU-like cysteine protease","4/34399 | 1/465","0.05299","0.1876"
"PF00390","Malic enzyme, N-terminal domain","4/34399 | 1/465","0.05299","0.1876"
"PF05450","Nicastrin","4/34399 | 1/465","0.05299","0.1876"
"PF09177","Syntaxin 6, N-terminal","4/34399 | 1/465","0.05299","0.1876"
"PF04802","Component of IIS longevity pathway SMK-1","4/34399 | 1/465","0.05299","0.1876"
"PF12263","Protein of unknown function (DUF3611)","4/34399 | 1/465","0.05299","0.1876"
"PF13292","1-deoxy-D-xylulose-5-phosphate synthase","4/34399 | 1/465","0.05299","0.1876"
"PF01872","RibD C-terminal domain","4/34399 | 1/465","0.05299","0.1876"
"PF14365","Neprosin activation peptide","4/34399 | 1/465","0.05299","0.1876"
"PF07522","DNA repair metallo-beta-lactamase","4/34399 | 1/465","0.05299","0.1876"
"PF04539","Sigma-70 region 3","4/34399 | 1/465","0.05299","0.1876"
"PF07647","SAM domain (Sterile alpha motif)","4/34399 | 1/465","0.05299","0.1876"
"PF06943","LSD1 zinc finger","4/34399 | 1/465","0.05299","0.1876"
"PF12931","Sec23-binding domain of Sec16","4/34399 | 1/465","0.05299","0.1876"
"PF01209","ubiE/COQ5 methyltransferase family","4/34399 | 1/465","0.05299","0.1876"
"PF00561","alpha/beta hydrolase fold","64/34399 | 3/465","0.05585","0.1958"
"PF14299","Phloem protein 2","29/34399 | 2/465","0.05825","0.1991"
"PF00566","Rab-GTPase-TBC domain","29/34399 | 2/465","0.05825","0.1991"
"PF09118","Domain of unknown function (DUF1929)","30/34399 | 2/465","0.06186","0.1991"
"PF14432","DYW family of nucleic acid deaminases","481/34399 | 11/465","0.06426","0.1991"
"PF07690","Major Facilitator Superfamily","31/34399 | 2/465","0.06556","0.1991"
"PF01158","Ribosomal protein L36e","5/34399 | 1/465","0.06579","0.1991"
"PF00393","6-phosphogluconate dehydrogenase, C-terminal domain","5/34399 | 1/465","0.06579","0.1991"
"PF02657","Fe-S metabolism associated domain","5/34399 | 1/465","0.06579","0.1991"
"PF01634","ATP phosphoribosyltransferase","5/34399 | 1/465","0.06579","0.1991"
"PF03399","SAC3/GANP family","5/34399 | 1/465","0.06579","0.1991"
"PF04253","Transferrin receptor-like dimerisation domain","5/34399 | 1/465","0.06579","0.1991"
"PF06470","SMC proteins Flexible Hinge Domain","5/34399 | 1/465","0.06579","0.1991"
"PF02542","YgbB family","5/34399 | 1/465","0.06579","0.1991"
"PF00477","Small hydrophilic plant seed protein","5/34399 | 1/465","0.06579","0.1991"
"PF05627","Cleavage site for pathogenic type III effector avirulence factor Avr","5/34399 | 1/465","0.06579","0.1991"
"PF13671","AAA domain","5/34399 | 1/465","0.06579","0.1991"
"PF03106","WRKY DNA -binding domain","73/34399 | 3/465","0.07643","0.2186"
"PF01436","NHL repeat","6/34399 | 1/465","0.07842","0.2186"
"PF13959","Domain of unknown function (DUF4217)","6/34399 | 1/465","0.07842","0.2186"
"PF00542","Ribosomal protein L7/L12 C-terminal domain","6/34399 | 1/465","0.07842","0.2186"
"PF07765","KIP1-like protein","6/34399 | 1/465","0.07842","0.2186"
