"ID","Description","Statistics","P-value","q-value"
"PF16135","TPL-binding domain in jasmonate signalling","8/34399 | 3/884","0.0008599","0.2731"
"PF05697","Bacterial trigger factor protein (TF)","3/34399 | 2/884","0.001945","0.2731"
"PF06046","Exocyst complex component Sec6","3/34399 | 2/884","0.001945","0.2731"
"PF02109","DAD family","3/34399 | 2/884","0.001945","0.2731"
"PF04130","Spc97 / Spc98 family","11/34399 | 3/884","0.002392","0.2731"
"PF13292","1-deoxy-D-xylulose-5-phosphate synthase","4/34399 | 2/884","0.003824","0.2843"
"PF14599","Zinc-ribbon","4/34399 | 2/884","0.003824","0.2843"
"PF03870","RNA polymerase Rpb8","5/34399 | 2/884","0.006265","0.2843"
"PF02182","SAD/SRA domain","16/34399 | 3/884","0.007376","0.2843"
"PF05678","VQ motif","67/34399 | 6/884","0.007478","0.2843"
"PF04057","Replication factor-A protein 1, N-terminal domain","6/34399 | 2/884","0.009238","0.2843"
"PF01253","Translation initiation factor SUI1","6/34399 | 2/884","0.009238","0.2843"
"PF14570","RING/Ubox like zinc-binding domain","7/34399 | 2/884","0.01271","0.2843"
"PF02727","Copper amine oxidase, N2 domain","7/34399 | 2/884","0.01271","0.2843"
"PF02728","Copper amine oxidase, N3 domain","7/34399 | 2/884","0.01271","0.2843"
"PF00483","Nucleotidyl transferase","20/34399 | 3/884","0.01392","0.2843"
"PF05911","Filament-like plant protein, long coiled-coil","8/34399 | 2/884","0.01667","0.2843"
"PF00198","2-oxoacid dehydrogenases acyltransferase (catalytic domain)","8/34399 | 2/884","0.01667","0.2843"
"PF01212","Beta-eliminating lyase","8/34399 | 2/884","0.01667","0.2843"
"PF05705","Eukaryotic protein of unknown function (DUF829)","8/34399 | 2/884","0.01667","0.2843"
"PF01535","PPR repeat","1140/34399 | 41/884","0.02026","0.2843"
"PF05659","Arabidopsis broad-spectrum mildew resistance protein RPW8","41/34399 | 4/884","0.02067","0.2843"
"PF00632","HECT-domain (ubiquitin-transferase)","24/34399 | 3/884","0.02291","0.2843"
"PF03195","Lateral organ boundaries (LOB) domain","111/34399 | 7/884","0.02465","0.2843"
"PF02670","1-deoxy-D-xylulose 5-phosphate reductoisomerase","1/34399 | 1/884","0.02570","0.2843"
"PF07228","Stage II sporulation protein E (SpoIIE)","1/34399 | 1/884","0.02570","0.2843"
"PF16381","Coatomer subunit gamma-1 C-terminal appendage platform","1/34399 | 1/884","0.02570","0.2843"
"PF12298","Eukaryotic mitochondrial regulator protein","1/34399 | 1/884","0.02570","0.2843"
"PF03986","Autophagocytosis associated protein (Atg3), N-terminal domain","1/34399 | 1/884","0.02570","0.2843"
"PF09127","Leukotriene A4 hydrolase, C-terminal","1/34399 | 1/884","0.02570","0.2843"
"PF07855","Autophagy-related protein 101","1/34399 | 1/884","0.02570","0.2843"
"PF03451","HELP motif","1/34399 | 1/884","0.02570","0.2843"
"PF10601","LITAF-like zinc ribbon domain","1/34399 | 1/884","0.02570","0.2843"
"PF06803","Protein of unknown function (DUF1232)","1/34399 | 1/884","0.02570","0.2843"
"PF14688","Domain of unknown function (DUF4461)","1/34399 | 1/884","0.02570","0.2843"
"PF05231","MASE1","1/34399 | 1/884","0.02570","0.2843"
"PF06487","Sin3 associated polypeptide p18 (SAP18)","1/34399 | 1/884","0.02570","0.2843"
"PF03266","NTPase","1/34399 | 1/884","0.02570","0.2843"
"PF01868","Domain of unknown function UPF0086","1/34399 | 1/884","0.02570","0.2843"
"PF08752","Coatomer gamma subunit appendage platform subdomain","1/34399 | 1/884","0.02570","0.2843"
"PF13344","Haloacid dehalogenase-like hydrolase","1/34399 | 1/884","0.02570","0.2843"
